line;FRUPRIM_LINE;
KMDPR;Комендантский проспект;
STDER;Старая деревня;
KREST;Крестовский остров;
CHKAL;Чкаловская;
SPORT;Спортивная;
ADMI;Адмиралтейская;
SADO;Садовая;
ZVEN;Звенигородская;
OBVK;Обводный канал;
VOLK;Волковская;
BUHA;Бухарестская;
MEZH;Международная;
line;MOSPET_LINE;
PARN;Парнас;
PRPRS;Проспект Просвещения;
OZER;Озерки;
UDEL;Удельная;
PION;Пионерская;
CREC;Черная речка;
PTRG;Петроградская;
GORK;Горьковская;
NEPR;Невский проспект;
SENN;Сенная;
TECH2;Технологический институт - 2;
FRUN;Фрунзенская;
MOSV;Московские ворота;
ELEK;Электросила;
PARK;Парк Победы;
MOSK;Московская;
ZVEZ;Звездная;
KUPC;Купчино;
line;NEVVASO_LINE;
BEGO;Беговая;
NKRS;Новокрестовская;
PRIM;Приморская;
VASIL;Василеостровская;
GDVR;Гостиный двор;
MAYA;Маяковская;
PLNEV1;Площадь Александра Невского - 1;
ELIZ;Елизаровская;
LOMO;Ломоносовская;
PROL;Пролетарская;
OBUH;Обухово;
RYBA;Рыбацкое;
line;PRAVOB_LINE;
SPAS;Спасская;
DOST;Достоевская;
LIGO;Лиговский проспект;
PLNEV2;Площадь Александра Невского - 2;
NOVC;Новочеркасская;
LADO;Ладожская;
PRBL;Проспект Большевиков;
ULDB;Улица Дыбенко;
line;KIRVYB_LINE;
DVKN;Девяткино;
GRPR;Гражданский проспект;
AKAD;Академическая;
POLY;Политехническая;
PLMUZ;Площадь Мужества;
LESN;Лесная;
VYBR;Выборгская;
PLEN;Площадь Ленина;
CHERN;Чернышевская;
PLVST;Площадь Восстания;
VLAD;Владимирская;
PUSH;Пушкинская;
TECH;Технологический институт - 1;
BALT;Балтийская;
NARV;Нарвская;
KIRZ;Кировский завод;
AVTO;Автово;
LENPR;Лениниский проспект;
PRVET;Проспект Ветеранов;
intersect;
GDVR;NEPR;
MAYA;PLVST;
PLNEV1;PLNEV2;
TECH;TECH2;
PUSH;ZVEN;
VLAD;DOST;
SENN;SADO;
SENN;SPAS;
SPAS;SADO;