СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;;;
18. ТРАНСПОРТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грузовые перевозки;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Перевозки грузов всеми видами транспорта, млн.т;18307,8;15736,3;12752,0;9940,0;8813,7;8166,2;7482,5;7078,2;7381,5;7907,1;8200,3;8487,5;8767,8;8978,3;9167,1;9300,7;9450,6;9451,1;7469,5;7750,4;8337,2;8519,2;8264,5;8006,4;7897,9;7953,7;8070,8;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
железнодорожным транспортом;1957,3;1640,1;1347,8;1058,2;1028,0;911,5;887,2;834,8;947,4;1046,8;1057,5;1083,7;1160,9;1221,2;1273,3;1311,6;1344,6;1304,4;1108,8;1312,0;1381,7;1421,1;1381,2;1375,4;1329,0;1325,2;1384,3;;;;;;;;;;;;;;;;
автомобильным транспортом;14688,3;12750,0;10224,6;7845,3;6786,4;6305;5647,6;5307,8;5491,1;5878,4;6125,3;6347,7;6468,1;6567,8;6684,6;6753,3;6861,4;6893,1;5240,5;5236,4;5663,1;5841,6;5635,3;5416,7;5356,7;5396,8;5403,9;;;;;;;;;;;;;;;;
газопроводным транспортом;545,7;523,4 ;511,6 ;482,9 ;473,8 ;481,5 ;480,0 ;487,0 ;498,9 ;511,2 ;508,8 ;513,8 ;544,5 ;555,1 ;565,8 ;581,1 ;571,6 ;578,6 ;480,0 ;536,6;555,1;541,1;537,5;512,0;493,0;509,4;548,8;;;;;;;;;;;;;;;;
нефтепроводным транспортом;441,4;382,8 ;335,4 ;299,5 ;287,9 ;281,5 ;283,8 ;282,0 ;282,1 ;294,6 ;319,7 ;359,8 ;404,3 ;441,5 ;454,1 ;460,8 ;461,8 ;456,4 ;474,4;491,7;543,8;523,4;524,6;532,1;543,3;543,4;553,4;;;;;;;;;;;;;;;;
нефтепродуктопроводным транспортом;55,1;40,5 ;26,1 ;18,3 ;20,9 ;20,4 ;22,1 ;20,9 ;20,9 ;23,1 ;24,9 ;25,7 ;27,6 ;27,6 ;28,2 ;28,4 ;28,7 ;31,6 ;30,6;33,2;32,0;32,0;33,1;34,0;34,7;35,2;36,1;;;;;;;;;;;;;;;;
"морским транспортом1);2)";103,5;90,6 ;85,3 ;74,7 ;71,1 ;59,4 ;54,3 ;41,2 ;37,6 ;35,4 ;33,8 ;37,3 ;35,7 ;29,1 ;26,0 ;25,4 ;28,1 ;35,2 ;37,4;37,0;34,0;18,3;16,7;15,8;18,8;24,6;24,6;;;;;;;;;;;;;;;;
"внутренним водным транспортом1);2)";514,3;307,5 ;220,3 ;160,4 ;144,9 ;106,1 ;106,7 ;104,0 ;102,8 ;116,8 ;129,5 ;118,7 ;125,8 ;135,0 ;134,2 ;139,2 ;153,4 ;150,8 ;96,9;102,4;126,2;140,5;134,9;119,1;121,4;118,0;118,5;;;;;;;;;;;;;;;;
воздушным транспортом3) (с 2000 г. включая перевозки грузов нерегулярными перевозчиками);2,2;1,4 ;0,9 ;0,7 ;0,6 ;0,8 ;0,8 ;0,6 ;0,7 ;0,8 ;0,9 ;0,9 ;0,8 ;0,9 ;0,8 ;0,9 ;1,0 ;1,0 ;0,9;1,1;1,2;1,2;1,2;1,3;1,0;1,1;1,3;;;;;;;;;;;;;;;;
Грузооборот всех видов транспорта,          млрд.т-км;5693;4913,2;4316,1;3724,0;3687,3;3519,8;3384,2;3267,4;3461,1;3638,1;3753,6;3976,3;4282,5;4558,2;4675,5;4799,7;4915,2;4948,3;4446,3;4751,6;4914,5;5055,7;5083,6;5080,0;5108,1;5198,4;5483,7;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
железнодорожного транспорта;2325,9;1967,1;1607,7;1195,5;1213,7;1131,3;1100,3;1019,5;1204,5;1373,2;1433,6;1510,2;1668,9;1801,6;1858,1;1950,8;2090,3;2116,2;1865,3;2011,3;2127,8;2222,4;2196,2;2300,5;2305,9;2344,1;2493,4;;;;;;;;;;;;;;;;
автомобильного транспорта;300,2;257,2;207,2;182,0;156,5;147,0;137,1;125,8;140,0;152,7;159,9;167,2;173,1;182,1;193,6;198,8;205,8;216,3;180,1;199,3;222,8;248,9;250,1;246,8;247,1;248,3;254,5;;;;;;;;;;;;;;;;
газопроводного транспорта;1353,1;1306,4;1269,9;1257,4;1230,6;1247,4;1165,4;1197,0;1194,3;1171,5;1164,4;1203,4;1269,9;1297,0;1317,2;1345,0;1323,6;1351,2;1123,4;1259,1;1301,8;1265,5;1288,7;1202,7;1175,6;1181;1300;;;;;;;;;;;;;;;;
нефтепроводного транспорта;1012,5;811,5;733,1;666,6;649,8;645,5;656,1;669,6;685,4;717,9;769,3;866,7;970,9;1083,4;1123,1;1119,3;1106,2;1077,1;1087,2;1084,4;1082,6;1151,9;1182,3;1178,0;1226,4;1262;1265;;;;;;;;;;;;;;;;
нефтепродуктопроводного транспорта;38,9;27,9;16,3;11,6;18,7;20,1;22,5;21,3;24,1;27,1;27,8;29,7;31,7;32,8;33,2;34,6;34,7;35,8;35,6;38,5;37,6;35,8;41,7;42,4;42,1;46,1;49,9;;;;;;;;;;;;;;;;
"морского транспорта1);2)";464,2;405,5;374,6;319,9;325,6;253,3;222,9;163,6;144,4;122,2;113,0;112,3;84,5;65,8;60,3;61,6;65,0;84,4;98,4;100,3;77,8;45,3;39,5;32,1;41,7;43,1;45,9;;;;;;;;;;;;;;;;
"внутреннего водного транспорта1);2)";195,8;135,8;105,5;89,7;90,9;73,2;77,4;68,7;66,0;71,0;82,9;84,1;80,8;92,5;87,2;86,7;86,0;63,7;52,7;54,0;59,1;80,8;80,1;72,3;63,6;67,2;67,2;;;;;;;;;;;;;;;;
воздушного транспорта3) (с 2000 г. включая грузооборот, выполненный нерегулярными перевозчиками);2,4;1,8;1,6;1,5;1,6;2,1;2,5;2,0;2,3;2,5;2,6;2,7;2,7;3,0;2,8;2,9;3,4;3,7;3,6;4,7;5,0;5,1;5,0;5,2;5,6;6,6;7,9;;;;;;;;;;;;;;;;
1)  С 2012 г. по морскому транспорту - исключая перевозки судами смешанного (река-море) плавания, по внутреннему водному транспорту - включая перевозки судами смешанного (река-море) плавания.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) C 2015 г. - по данным Росморречфлота.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) По данным Росавиации.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Пассажирские перевозки;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Перевозки пассажиров всеми видами транспорта общего пользования, млн. человек;49532,5;47884,5;48112,9;46285,2;44943,7;45360,9;45822,2;45154,5;45344,3;44854,1;44000,5;42624,0;40098,9;39119,6;30128,4;26647,3;25314,8;24957,4;22850,4;22064,7;21913,6;21369,8;19651,9;19558,3;19122,1;18688,7;18482,2;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
железнодорожным транспортом;2676,6;2372,3;2323,5;2062,0;1833,0;1662,6;1599,6;1471,3;1337,5;1418,8;1305,9;1270,7;1303,5;1335,1;1338,7;1338,6;1281,9;1295,6;1136,9;946,5;993,1;1058,8;1079,6;1076,4;1024,6;1040,0;1121,3;;;;;;;;;;;;;;;;
автобусным транспортом1);27302,0;24874,2;24123,7;23438,0;22817,1;23185,0;23664,7;23102,8;22882,5;23001,1;22462,2;21920,6;20912,3;21018,3;16374,0;14733,6;14794,9;14717,8;13704,4;13433,7;13304,9;12766,2;11586,8;11554,3;11522,9;11295,8;11184,4;;;;;;;;;;;;;;;;
легковым такси2) ;525,6;265,7;139,3;98,4;66,0;43,4;33,1;24,1;19,8;15,5;12,8;12,3;10,1;10,3;6,4;7,2;7,7;7,3;6,6;30,2;27,0;28,7;30,8;22,0;26,8;43,7;43,7;;;;;;;;;;;;;;;;
трамвайным транспортом;7619,5;8070,6;8125,2;7644,4;7539,9;7526,6;7495,3;7506,3;7817,8;7421,2;7353,5;6982,3;6321,0;5803,8;4123,4;3267,1;2660,3;2537,2;2216,6;2078,7;2003,6;1928,3;1629,0;1551,4;1477,9;1396,6;1326,9;;;;;;;;;;;;;;;;
троллейбусным транспортом;8004,9;8619,1;9101,6;8751,3;8474,6;8720,7;8848,5;8860,3;9077,1;8759,3;8604,3;8181,1;7290,8;6679,7;4653,1;3774,6;2971,9;2733,0;2414,0;2205,7;2152,2;2051,2;1735,1;1803,1;1616,5;1483,1;1375,7;;;;;;;;;;;;;;;;
метрополитенным транспортом;3229,0;3567,5;4212,1;4224,4;4149,9;4173,3;4128,2;4146,2;4162,2;4186,4;4204,6;4199,5;4204,7;4210,6;3574,3;3465,7;3528,4;3593,7;3306,6;3293,7;3351,3;3445,6;3490,7;3436,6;3336,5;3311,7;3298;;;;;;;;;;;;;;;;
морским транспортом3);13,7;8,7;6,3;4,4;3,4;2,2;1,6;1,3;1,2;1,1;0,8;0,7;1,2;1,1;1,3;1,4;1,4;1,4;1,5;1,5;1,3;1,1;0,5;6,9;9,6;13,0;11,7;;;;;;;;;;;;;;;;
внутренним водным транспортом3);75,2;43,8;39,7;28,5;26,8;19,0;25,0;18,9;23,8;27,7;30,0;28,8;24,4;25,5;20,7;19,6;21,5;19,9;17,2;16,1;14,2;13,7;13,0;12,6;13,6;13,5;12,7;;;;;;;;;;;;;;;;
воздушным транспортом4)(с 2000 г. включая перевозки пассажиров нерегулярными перевозчиками);86,0;62,6;41,5;33,8;33,0;28,1;26,2;23,3;22,4;23,0;26,4;28,0;30,9;35,2;36,5;39,5;46,8;51,5;46,6;58,6;66,0;76,1;86,3;95,0;93,6;91,3;107,8;;;;;;;;;;;;;;;;
Пассажирооборот всех видов транспорта общего пользования, млрд. пасс-км;751,8;681,2;661,0;596,2;552,3;528,0;511,8;481,4;468,8;496,2;494,2;489,4;491,4;508,8;473,3;476,5;497,3;512,2;464,2;484,0;502,8;532,6;547,2;556,2;530,0;519,8;560,7;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
железнодорожного транспорта;255,0;253,2;272,2;227,1;192,2;181,2 ;170,3 ;152,9 ;141,0 ;167,1 ;157,9 ;152,9 ;157,6 ;164,3 ;172,2 ;177,8 ;174,1 ;175,9 ;151,5;138,9;139,8;144,6;138,5;130,0;120,6;124,6;123,1;;;;;;;;;;;;;;;;
автобусного транспорта1);250,7;212,3;200,3;193,8;188,2;181,3 ;179,2 ;171,6 ;171,8 ;173,7 ;172,1 ;170,7 ;166,2 ;168,7 ;142,3 ;136,0 ;149,9 ;152,1 ;141,5;140,6;138,6;133,3;126,0;127,1;126,3;124,3;123,4;;;;;;;;;;;;;;;;
легковым такси2);7,9;3,8;2,0;1,4;1,0;0,6 ;0,5 ;0,3 ;0,3 ;0,2 ;0,2 ;0,2 ;0,1 ;0,2 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1;0,3;0,3;0,3;0,3;0,3;0,3;0,4;0,5;;;;;;;;;;;;;;;;
трамвайного транспорта;24,1;26,0;26,3;25,9;25,1;25,3 ;25,1 ;25,5 ;26,2 ;25,1 ;23,2 ;21,9 ;20,2 ;18,7 ;13,5 ;11,1 ;8,7 ;8,2 ;7,1;6,7;6,4;6,3;5,3;5,0;4,8;4,6;4,3;;;;;;;;;;;;;;;;
троллейбусного транспорта;23,9;26,2;28,3;27,2;26,5;27,4 ;28,0 ;28,2 ;28,6 ;28,1 ;27,8 ;26,6 ;23,8 ;21,4 ;15,0 ;12,4 ;9,8 ;9,0 ;7,9;7,1;6,9;6,6;5,7;6,4;6,0;5,5;5,2;;;;;;;;;;;;;;;;
метрополитенного транспорта;35,6;39,6;46,8;47,0;46,2;46,6 ;46,2 ;46,5 ;46,6 ;46,9 ;51,3 ;51,3 ;51,4 ;51,4 ;43,4 ;44,2 ;42,6 ;43,4 ;42,7;42,4;43,2;45,1;45,6;45,4;44,6;44,1;44,1;;;;;;;;;;;;;;;;
морского транспорта3);0,5;0,5;0,3;0,3;0,3;0,2 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1;0,1;0,1;0,04;0,04;0,1;0,1;0,1;0,1;;;;;;;;;;;;;;;;
внутреннего водного транспорта3);3,7;1,9;1,6;1,2;1,1;0,9 ;0,9 ;0,8 ;0,8 ;1,0 ;1,0 ;1,0 ;0,9 ;1,0 ;0,9 ;0,9 ;1,0 ;0,8 ;0,8;0,8;0,7;0,6;0,6;0,5;0,5;0,6;0,6;;;;;;;;;;;;;;;;
воздушного транспорта4);150,4;117,7;83,2;72,3;71,7;64,5 ;61,5 ;55,5 ;53,4 ;54,0 ;60,6 ;64,7 ;71,1 ;83,0 ;85,8 ;93,9 ;111,0 ;122,6 ;112,5;147,1;166,8;195,8;225,2;241,4;226,8;215,6;259,4;;;;;;;;;;;;;;;;
 1) С 2000 г. - по юридическим лицам и индивидуальным предпринимателям (включая субъекты малого предпринимательства), осуществляющих перевозки пассажиров автобусами.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) С 2010 г. по юридическим лицам (без микропредприятий).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) С 2015 г. - по данным Росморречфлота.   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) По данным Росавиации.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Транспортные средства ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Наличие грузовых автомобилей (на конец года) в организациях автомобильного транспорта общего пользования1), тыс.шт.;313,5;274,5 ;237,6 ;432,0 ;356,7 ;277,2 ;211,4 ;175,5 ;150,9 ;128,1 ;110,3 ;89,0 ;70,6 ;57,2 ;49,6 ;44,3 ;40,6 ;38,5 ;36,1;35,3;58;60;62;61;61;39;46;;;;;;;;;;;;;;;;
Наличие грузовых автомобилей (на конец года) в собственности граждан (по данным МВД России), тыс.шт.;60,0;199,0;392,0;595,0;798,0;998,0;1107,5;1249,5;1439,8;1568,4;1698,4;1920,7;1996,2;2151,5;2300,4;2440,2;2627,0;2818,0;2856,7;2949,6;3096,8;3272,8;3544,7;3777,4;3789,2;3841,2;3925,6;;;;;;;;;;;;;;;;
Наличие автобусов (на конец года) в организациях автомобильного транспорта общего пользования2), тыс.шт.;147,5;133,9;129,2;123,7;128,4;124,3;122,5;117,1;112,5;108,6;106,7;101,1;92,9;86,3;79,2;72,2;69,0;64,4;64,8;157,7;166,3;169,9;166;167,4;175,4;171,3;170,4;;;;;;;;;;;;;;;;
Число легковых автомобилей (на конец года)  в собственности граждан (по данным МВД России), тыс. шт.;9417,3;10156,7;11099,2;12387,3;13688,5;15047,2;16591,2;17761,3;18543,4;19097,4;19983,9;21135,1;22082,1;22853,8;24124,8;25281,8;27754,5;30300,2;31340,6;32629,1;34624,3;36917,2;39237,1;41433,4;42317,1;43157,1;44792;;;;;;;;;;;;;;;;
Число легковых автомобилей (на конец года) в собственности граждан на 1000 человек населения (по данным МВД России), шт.;63,4;68,4 ;74,8 ;83,4 ;92,3 ;101,7 ;112,3 ;120,4 ;126,2 ;130,5 ;137,2 ;145,8 ;153,0 ;158,9 ;168,4 ;177,0 ;194,4 ;212,3 ;219,4;228,4;242,0;257,5;273,1;283,3;288,8;294;305;;;;;;;;;;;;;;;;
Число трамвайных вагонов (на конец года), тыс. шт.;14,5;14,3 ;13,9 ;13,5 ;13,3 ;13,0 ;12,7 ;12,4 ;12,3 ;12,1 ;11,8 ;11,3 ;10,9 ;10,6 ;10,3 ;9,9 ;9,7 ;9,4 ;9,0;8,8;8,6;8,4;8,3;8,3;8,0;7,8;7,7;;;;;;;;;;;;;;;;
Число троллейбусов (на конец года), тыс. шт.;14,0;13,9 ;13,8 ;13,5 ;13,2 ;12,7 ;12,5 ;12,3 ;12,2 ;12,2 ;12,1 ;11,9 ;11,8 ;11,6 ;11,4 ;11,3 ;11,2 ;11,2 ;11,0;11,1;11,0;11,0;10,7;10,7;10,2;10;9,4;;;;;;;;;;;;;;;;
Число вагонов метрополитена (на конец года), тыс. шт.;5,4;5,5 ;5,6 ;5,7 ;5,7 ;5,8 ;5,8 ;5,8 ;5,8 ;5,8 ;5,8 ;5,9 ;5,9 ;6,0 ;6,1 ;6,2 ;6,3 ;6,3 ;6,3;6,3;6,5;6,7;7,0;7,4;7,4;7,7;7,8;;;;;;;;;;;;;;;;
1) По юридическим лицам (без субъектов малого предпринимательства). С 2017 г. включая пикапы и легковые фургоны.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) С 2010 г. – эксплуатационные автобусы (собственные, арендованные, приобретенные по договору лизинга и т.п.) юридических лиц  и индивидуальных предпринимателей (включая субъекты малого предпринимательства), осуществляющих перевозку  пассажиров по регулярным маршрутам.    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Пути сообщения;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Эксплуатационная длина железнодорожных путей общего пользования (на конец года)1), тыс. км;87,2;87,1 ;87,1 ;87,1 ;87,4 ;87,1 ;86,7 ;86,2 ;86,0 ;86,1 ;85,8 ;85,5 ;85,4 ;85,3 ;85,2 ;85,2 ;85,2 ;85,6 ;85,6;85,7 ;85,5;85,6 ;85,6;86,3;86,3;86,4;86,5;;;;;;;;;;;;;;;;
Протяженность автомобильных дорог общего пользования2) (на конец года), тыс. км;456,2;465,9 ;489,1 ;519,0 ;538,6 ;558,5 ;569,0 ;573,5 ;579,0 ;584,4 ;588,7 ;592,6 ;598,6 ;600,6 ;581,0 ;701,1 ;747,5 ;754,1 ;792,7;825,0 ;927,3;1278,3;1396,5;1451,2;1480,5;1498,5;1507,8;;;;;;;;;;;;;;;;
Протяженность автомобильных дорог общего пользования с твердым покрытием2) (на конец года), тыс. км;405,5;419,1 ;440,0 ;462,8 ;483,9 ;500,2 ;510,9 ;517,4 ;525,3 ;532,4 ;537,0 ;541,1 ;544,2 ;546,4 ;530,5 ;597,3 ;624,2 ;629,1 ;646,9;664,6 ;727,7;925,2 ;985,4;1023,8;1045,5;1053,7;1063,9;;;;;;;;;;;;;;;;
Эксплуатационная длина трамвайных путей (на конец года), тыс. км;3,0;3,1 ;3,1 ;3,1 ;3,0 ;3,0 ;3,0 ;3,0 ;3,0 ;3,0 ;3,0 ;2,9 ;2,9 ;2,8 ;2,8 ;2,8 ;2,7 ;2,7 ;2,6;2,6 ;2,5;2,5 ;2,5;2,5;2,5;2,5;2,5;;;;;;;;;;;;;;;;
Эксплуатационная длина троллейбусных линий (на конец года), тыс. км;4,4;4,6 ;4,7 ;4,6 ;4,6 ;4,7 ;4,7 ;4,7 ;4,7 ;4,8 ;4,8 ;4,8 ;4,8 ;4,8 ;4,9 ;4,9 ;4,9 ;4,9 ;4,9;4,9 ;4,8;4,8 ;4,8;5,3;5,3;5,3;5,2;;;;;;;;;;;;;;;;
Эксплуатационная длина путей метрополитена (на конец года), км;358,3;367,0 ;372,6 ;376,8 ;388,8 ;392,0 ;397,6 ;397,7 ;401,9 ;405,0 ;406,4 ;412,3 ;420,5 ;422,6 ;435,9 ;438,6 ;441,8 ;461,2 ;465,5;475,1 ;485,2;497,3 ;512,0;514,2;517,0;531,7;541,8;;;;;;;;;;;;;;;;
Протяженность газопроводов (на конец года), тыс. км;148,6;140,2 ;141,9 ;143,3 ;147,8 ;150,0 ;151,5 ;152,0 ;153,1 ;151,7 ;152,1 ;152,7 ;156,1 ;157,6 ;159,9 ;161,9 ;163,5 ;164,8 ;166,2;167,5 ;170,6;174,4 ;174,9;177,3;177,7;179,3;179,8;;;;;;;;;;;;;;;;
Протяженность нефтепроводов (на конец года), тыс. км;51,2;51,4 ;50,5 ;49,9 ;49,2 ;48,8 ;48,5 ;48,8 ;48,0 ;48,4 ;48,1 ;50,1 ;49,7 ;49,9 ;49,8 ;49,6 ;49,5 ;49,2 ;48,9;49,2 ;51,0;54,9 ;55,0;54,9;54,8;54,2;53,4;;;;;;;;;;;;;;;;
Протяженность нефтепродуктопроводов (на конец года)3), тыс. км ;15,5;15,5 ;15,5 ;15,0 ;15,0 ;15,1 ;15,1 ;15,0 ;15,0 ;14,9 ;15,0 ;15,2 ;15,2 ;15,6 ;15,6 ;15,6 ;15,8 ;16,0 ;15,9;15,9 ;19,5;19,6 ;19,8;19,3;19,3;16,6;17,3;;;;;;;;;;;;;;;;
Протяженность внутренних водных судоходных путей (на конец года)4), тыс. км;102,2;97,8 ;97,3 ;93,8 ;83,7 ;75,0 ;84,4 ;89,1 ;84,6 ;84,6 ;101,8 ;101,7 ;101,7 ;101,7 ;101,7 ;101,6 ;101,6 ;101,6 ;101,5;101,4 ;101,3;101,4 ;101,7;101,7;101,7;101,5;101,5;;;;;;;;;;;;;;;;
1) Включая протяженность участков железных дорог, находящихся за пределами Российской Федерации.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2) С 2010 г. - включая дороги местного значения; с 2012 г. - включая протяженность улиц.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) С 2011 г. - включая нефтепродуктопроводы на территории иностранных государств.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) По данным Росморречфлота.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Аварийность на транспорте
(по данным МВД России)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Погибло людей в дорожно-транспортных происшествиях на автомобильных дорогах и улицах1), человек;37510;36471;37120;35599;32791;29468;27665;29021;29718;29594;30916;33243;35602;34506;33957;32724;33308;29936;27659;26567;27953;27991;27025;26963;23114;20308;19088;;;;;;;;;;;;;;;;
Ранено людей в дорожно-транспортных происшествиях на автомобильных дорогах и улицах, человек;214409;200026;192802;189877;183926;178378;177924;183846;182123;179401;187790;215678;243919;251386;274864;285362;292206;270883;255484;250635;251848;258618;258437;251793;231197;221140;215374;;;;;;;;;;;;;;;;
1) С 2009 г. погибшим в результате ДТП считается лицо, погибшее на месте ДТП либо умершее в течение 30 суток после ДТП (до 2009 г. - в течение 7 суток).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
