СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовое накопление основного капитала2);325,4;4550,7;34964,9;133208,7;301117,4;401613,9;428522,1;424656,5;693958,5;1232043,1;1689315,0;1939314,4;2432252,0;3130523,6;3836895,9;4980573,3;6980359,1;9200768,9;8535671,5;10014340,1;12952976,5;14689247,0;15925615,2;16828063,2;16941946,2;18402686,3;19966589,9;
Изменение запасов материальных оборотных средств;181,8;2031,4;11352,0;22762,7;62244,6;73642,5;86279,2;-31174,3;21361,0;133690,7;273795,4;229999,3;322796,5;428427,8;501834,6;718154,0;1053739,1;1325347,2;-1190915,0;458289,9;1782910,9;2040955,4;990246,9;786501,1;1299237,2;1269076,7;1995641,3;
Приобретение за вычетом выбытия непроизведенных нефинансовых активов;;;;;;;;;;;;;;;;;;5773,8;7232,4;-;-1195,2;12549,9;4606,3;10304,9;2841,4;934,4;2270,5;
Чистое кредитование (+), чистое заимствование (-) и статистическое расхождение;35,9;3441,9;17896,0;29261,7;29683,8;65630,6;-5546,8;109281,9;635526,1;1575990,4;672292,5;567354,2;951081,9;1556824,1;1899271,7;2573676,9;2111211,8;1927656,6;458746,5;1729005,6;2920370,6;2081734,9;1086244,2;323956,8;4161585,9;2673832,8;2461936,7;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Выпуск товаров и услуг по видам экономической деятельности (в текущих ценах; миллионов рублей)";;;;;;;;;;;;18990498,6;23273089,5;29490622,6;37020602,0;46223866,5;57752132,5;71601657,9;68116448,0;82054614,9;100960390,7;113092172,5;123165485,1;133110237,9;146356047,9;154577983,2;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;1128100,8;1283388,3;1485181,3;1611613,2;1856108,4;2253721,9;2819575,5;2892506,0;3023199,4;3769460,4;3941217,5;4261559,7;4975414,9;5983915,969;6386910,283;;
Рыболовство, рыбоводство;;;;;;;;;;;;65554,9;107512,3;110807,7;122084,8;133058,5;141114,3;151476,9;179548,5;188455,1;204357,6;227380,4;242914,3;273931,7;364587,9531;395879,1516;;
Добыча полезных ископаемых;;;;;;;;;;;;1347497,7;1609675,5;2304007,7;3200085,4;3641572,7;4239161,9;4972892,2;4748097,1;5982248,1;7361122,5;8352856,1;8967958,6;9559568,5;10978716,25;11395783,97;;
Обрабатывающие производства;;;;;;;;;;;;4974605,6;6300015,7;8225397,5;10610913,8;13122939,6;16531565,9;20190378,6;16869216,9;21067729,9;25097057,5;27866721,4;29881736,9;32703709,0;36772740,82;38342486,09;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;939362,2;1186506,5;1464504,1;1735050,5;2185171,9;2621553,3;3109919,8;3727420,9;4536888,3;5876157,6;5980597,3;6633036,2;6991782,4;7268270,377;7889802,01;;
Строительство;;;;;;;;;;;;1058965,4;1461122,7;1786292,1;2178962,2;2850835,6;3937478,9;5317770,5;4906338,7;5791323,3;7820197,6;8844773,5;8992161,1;9353861,8;9966500,539;10609878,91;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;3122894,4;3602366,0;4673283,9;5655446,8;7389723,5;9140468,7;11196780,8;9822719,8;12983306,5;14200405,3;15689041,2;16854139,3;18521207,6;20197632,48;20186802,27;;
Гостиницы и рестораны;;;;;;;;;;;;150474,2;174308,3;247748,3;316023,9;412841,1;548352,2;708383,1;697027,8;847367,2;940517,6;1107945,4;1181290,1;1294428,3;1438316,119;1499331,216;;
Транспорт и связь;;;;;;;;;;;;1857036,8;2221812,8;2789997,6;3447664,8;4312877,0;5098160,3;6425452,4;6410431,8;7286092,4;8399684,8;9606226,5;10657878,9;11357366,4;12903807,82;13923313,56;;
Финансовая деятельность;;;;;;;;;;;;410896,4;548838,1;692201,8;976222,0;1334423,2;1736934,4;2203766,2;2373143,3;2489258,3;2845300,2;3514991,1;4086568,8;4477830,9;3945333,344;4772685,332;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;1581925,6;1907390,6;2222149,9;2893613,0;3584257,8;4862963,3;6108475,8;6511146,4;7796276,2;12020148,1;13681347,9;15526196,4;16718978,7;18643184,28;20107498,04;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;1103620,7;1375996,0;1645632,2;1988395,7;2517781,8;3030246,1;3897155,0;4242799,1;4716044,4;5923023,9;7090184,0;7966128,7;8109463,6;8464920,776;9241050,706;;
Образование;;;;;;;;;;;;388822,1;458239,6;562058,0;705529,2;886068,3;1118838,8;1398967,5;1534347,3;1683393,3;1913333,6;2012124,4;2204266,3;2313606,5;2381993,356;2432692,958;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;542159,2;629486,2;791460,3;995030,5;1262248,1;1559218,9;1979160,8;2157582,9;2381500,1;2805442,8;3181991,2;3506502,5;4037538,1;4330581,784;4477912,73;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;318582,6;406430,6;489900,2;583966,2;733958,9;932353,5;1121502,9;1044121,6;1281459,8;1445608,3;1618925,8;1797054,0;1985472,3;2232957,664;2409677,346;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;72,5;338573,0;375849,0;406093,2;436077,0;482588,3973;506278,6617;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Выпуск товаров и услуг по отраслям экономики (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;166753822,7;
Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;;;;7083534,6;
Добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;;13342929,9;
Обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;;;;41169158,6;
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;;;;8060396,9;
"Водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;;;;1024445,8;
Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;11496972,4;
"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов";;;;;;;;;;;;;;;;;;;;;;;;;;;21448729,3;
Транспортировка и храние;;;;;;;;;;;;;;;;;;;;;;;;;;;13012720,1;
Деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;;;;1572405,3;
Деятельность в области информации и связи;;;;;;;;;;;;;;;;;;;;;;;;;;;3844513;
Деятельность финансовая и страховая;;;;;;;;;;;;;;;;;;;;;;;;;;;5107660,8;
Деятельность по операциям с недвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;;;;10592998,4;
Деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;;;;6884866,2;
Деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;;;;2727041,3;
"Государственное управление и обеспечение военной безопасности;  социальное отрахование";;;;;;;;;;;;;;;;;;;;;;;;;;;9725727,1;
Образование;;;;;;;;;;;;;;;;;;;;;;;;;;;2622949;
Деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;4537925,3;
Деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;;;;1274470,3;
Предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;707386,9;
"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления ";;;;;;;;;;;;;;;;;;;;;;;;;;;516991,5;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промежуточное потребление по видам экономической деятельности (в текущих ценах; миллионов рублей)";;;;;;;;;;;;9409204,9;11653339,2;14631855,6;18502936,2;23246522,8;29267661,3;36418959,6;34285124,3;42014537,4;48876259,9;54095939,3;59296035,2;64202725,4;71435194,3;76970344,9;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;554341,8;615957,0;711821,1;747430,3;874823,4;1058943,2;1333000,8;1388084,8;1571666,4;1824975,0;1867727,4;2068166,1;2309534,7;2742431,3;3006639;;
Рыболовство, рыбоводство;;;;;;;;;;;;36519,2;48101,6;49079,2;66574,3;74986,2;79502,1;88790,5;98908,7;91477,6;107809,4;119546,6;124875,5;137688,0;164186,4;172245,3;;
Добыча полезных ископаемых;;;;;;;;;;;;709067,8;839875,0;892360,8;1135798,1;1132126,9;1373634,1;1688266,0;1862692,7;2139435,8;2411158,1;2784823,9;3048419,6;3318037,6;3685068,5;4008827,5;;
Обрабатывающие производства;;;;;;;;;;;;3329079,6;4402344,5;5634453,8;7222454,2;9006969,1;11506326,5;14026442,8;11863872,9;15133072,5;18118345,5;19824042,7;21602297,7;23519234,1;26225863,3;27919746,3;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;589909,2;772432,1;916164,8;1126642,8;1458190,3;1765668,3;2075952,4;2338683,5;3009800,1;4129968,5;4173369,9;4679261,6;4999236,1;5024262;5474096,5;;
Строительство;;;;;;;;;;;;545421,7;758095,8;939224,1;1189016,2;1648876,8;2303578,9;3092445,2;2804855,1;3203509,5;3857266,2;4320490,6;4517346,6;4672384,4;5222478,5;5681137,9;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;930257,2;1030145,2;1661093,6;2044988,0;2716136,4;3395486,0;4059053,2;3762204,1;4962333,4;5121529,5;5784375,9;6512208,9;7349648,8;8344690,3;8841817;;
Гостиницы и рестораны;;;;;;;;;;;;62459,3;80427,9;107884,4;148231,9;206117,4;262056,9;350413,7;353362,3;444091,3;473169,9;576242,6;626193,3;690977,1;772374,5;799885,7;;
Транспорт и связь;;;;;;;;;;;;878352,1;977632,9;1147566,4;1550657,8;2065280,8;2347270,9;3167172,0;3160790,3;3623628,2;4448052,7;5123074,0;5516407,6;5963413,2;6870603,5;7538468,8;;
Финансовая деятельность;;;;;;;;;;;;130590,5;160826,4;218060,1;275069,5;357255,5;483174,4;665916,5;665990,2;715748,9;902311,6;1106541,3;1243338,5;1329756,4;1358884,2;1485802,8;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;562169,4;660641,8;814123,6;1064831,4;1296680,2;1760130,3;2149090,7;2290543,4;2894756,6;3011234,9;3486497,5;4142034,8;4625696,2;5398337,6;5989156,5;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;614893,0;724707,2;843118,4;1029305,8;1328618,7;1563889,1;2012753,8;2039585,8;2292495,8;2291216,2;2535030,5;2764797,5;2576370,4;2645852;2936916,5;;
Образование;;;;;;;;;;;;108849,1;140311,9;161935,6;212323,6;266775,5;348979,5;428303,1;400135,1;457426,1;512086,6;468439,6;487109,9;470708,0;477451,1;467713,5;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;220706,2;253616,5;318879,2;430375,8;496795,0;608740,2;781317,8;797243,8;894196,7;1043633,4;1221968,3;1203481,1;1372213,8;1548481,2;1579111,5;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;136588,8;188223,4;216090,5;259236,7;316890,5;410280,7;500041,2;458171,5;580872,5;623502,3;703768,5;760096,4;867826,5;954229,9;1068780,2;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;25,9;0,0;0,0;0,0;0,0;0,0;0,0;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промежуточное потребление по отраслям экономики (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;83694713,7;
Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;;;;3388841,8;
Добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;;4736502,8;
Обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;;;;30199946,2;
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;;;;5681259,3;
"Водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;;;;611605,7;
Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;6210414,9;
"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов";;;;;;;;;;;;;;;;;;;;;;;;;;;9464279,2;
Транспортировка и храние;;;;;;;;;;;;;;;;;;;;;;;;;;;7191825,5;
Деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;;;;835932,2;
Деятельность в области информации и связи;;;;;;;;;;;;;;;;;;;;;;;;;;;1881769,8;
Деятельность финансовая и страховая;;;;;;;;;;;;;;;;;;;;;;;;;;;1599866,1;
Деятельность по операциям с недвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;;;;2408781,1;
Деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;;;;2901125,3;
Деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;;;;621010;
"Государственное управление и обеспечение военной безопасности;  социальное отрахование";;;;;;;;;;;;;;;;;;;;;;;;;;;3193709,1;
Образование;;;;;;;;;;;;;;;;;;;;;;;;;;;479022,7;
Деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;1483429,1;
Деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;;;;504721,5;
Предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;300671,5;
"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления ";;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;
"Валовый внутренний продукт и валовая добавленная стоимость по видам экономической деятельности (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовый внутренний продукт в рыночных ценах;;;;;;;;;;;;10830535,1;13208233,8;17027190,9;21609765,5;26917201,4;33247513,2;41276849,2;38807218,6;46308541,2;60282540,5;68163883,1;73133895,1;79199658,5;83387191,7;86148565,62;;
   в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   Валовая добавленная стоимость                                                                                                                 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   в основных ценах;;;;;;;;;;;;9581293,7;11619750,3;14858767,0;18517665,8;22977343,7;28484471,2;35182698,3;33831323,8;40040077,5;52084130,9;58996233,2;63869449,9;68907512,5;74920853,7;77607638,3;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;573759,0;667431,3;773360,2;864182,9;981285,0;1194778,7;1486574,6;1504421,2;1451533,0;1944485,4;2073490,0;2193393,6;2665880,2;3241484,7;3380271,3;;
Рыболовство, рыбоводство;;;;;;;;;;;;29035,6;59410,7;61728,5;55510,5;58072,3;61612,2;62686,4;80639,8;96977,5;96548,3;107833,8;118038,7;136243,7;200401,6;223633,9;;
Добыча полезных ископаемых;;;;;;;;;;;;638429,9;769800,6;1411646,9;2064287,3;2509445,8;2865527,8;3284626,2;2885404,4;3842812,3;4949964,4;5568032,2;5919539,0;6241530,9;7293647,7;7386956,5;;
Обрабатывающие производства;;;;;;;;;;;;1645526,0;1897671,2;2590943,7;3388459,6;4115970,5;5025239,4;6163935,8;5005344,0;5934657,4;6978711,9;8042678,7;8279439,2;9184475,0;10546877,5;10422739,8;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;349452,9;414074,4;548339,3;608407,7;726981,6;855885,0;1033967,4;1388737,4;1527088,2;1746189,1;1807227,4;1953774,7;1992546,3;2244008,4;2415705,5;;
Строительство;;;;;;;;;;;;513543,8;703026,9;847068,0;989945,9;1201958,8;1633900,0;2225325,3;2101483,6;2587813,8;3962931,4;4524282,9;4474814,6;4681477,4;4744022;4928741;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;2192637,2;2572220,8;3012190,3;3610458,8;4673587,1;5744982,7;7137727,6;6060515,7;8020973,1;9078875,8;9904665,2;10341930,4;11171558,8;11852942,2;11344985,3;;
Гостиницы и рестораны;;;;;;;;;;;;88014,9;93880,4;139863,8;167792,0;206723,7;286295,3;357969,4;343665,5;403275,9;467347,7;531702,7;555096,8;603451,2;665941,6;699445,5;;
Транспорт и связь;;;;;;;;;;;;978684,7;1244179,9;1642431,2;1897007,0;2247596,2;2750889,4;3258280,4;3249641,5;3662464,2;3951632,1;4483152,4;5141471,3;5393953,2;6033204,3;6384844,8;;
Финансовая деятельность;;;;;;;;;;;;280305,8;388011,7;474141,7;701152,5;977167,7;1253760,0;1537849,7;1707153,1;1773509,4;1942988,5;2408449,8;2843230,3;3148074,5;2586449,1;3286882,5;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;1019756,2;1246748,8;1408026,3;1828781,6;2287577,6;3102833,0;3959385,1;4220603,0;4901519,6;9008913,2;10194850,4;11384161,7;12093282,6;13244846,7;14118341,5;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;488727,7;651288,8;802513,8;959089,9;1189163,1;1466357,0;1884401,2;2203213,3;2423548,6;3631807,6;4555153,6;5201331,2;5533093,3;5819068,8;6304134,2;;
Образование;;;;;;;;;;;;279973,0;317927,7;400122,4;493205,6;619292,8;769859,3;970664,4;1134212,2;1225967,2;1401247,0;1543684,8;1717156,4;1842898,5;1904542,3;1964979,5;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;321453,0;375869,8;472581,2;564654,7;765453,1;950478,7;1197843,0;1360339,1;1487303,4;1761809,4;1960022,9;2303021,4;2665324,2;2782100,6;2898801,2;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;181993,8;218207,3;273809,7;324729,5;417068,4;522072,8;621461,7;585950,1;700587,3;822106,0;915157,2;1036957,6;1117645,7;1278727,8;1340897,1;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;46,6;338573,0;375849,0;406093,2;436077,0;482588,4;506278,7;;
Налоги на продукты;;;;;;;;;;;;1415153,1;1775123,2;2352124,6;3248224,8;4090102,5;4977558,7;6323848,4;5202132,9;6462567,9;8413321,9;9411798,2;9510857,9;10550847,9;8738499,6;8817205,9;;
Субсидии на продукты (-);;;;;;;;;;;;165911,6;186639,7;183700,7;156125,1;150244,8;214516,7;229697,6;226238,1;194104,2;214912,3;244148,3;246412,7;258701849,0;272161,6;276278,7;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовый внутренний продукт в рыночных ценах;;;;;;;;;;;;;;;;;;;;;;;;;;;92037175,7;
   в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   Валовая добавленная стоимость                                                                                                                 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   в основных ценах;;;;;;;;;;;;;;;;;;;;;;;;;;;83059109,0;
Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;;;;3694692,8;
Добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;;8606427,1;
Обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;;;;10969212,4;
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;;;;2379137,6;
"Водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;;;;412840,1;
Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;5286557,5;
"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов";;;;;;;;;;;;;;;;;;;;;;;;;;;11984450,1;
Транспортировка и храние;;;;;;;;;;;;;;;;;;;;;;;;;;;5820894,6;
Деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;;;;736473,1;
Деятельность в области информации и связи;;;;;;;;;;;;;;;;;;;;;;;;;;;1962743,2;
Деятельность финансовая и страховая;;;;;;;;;;;;;;;;;;;;;;;;;;;3507794,7;
Деятельность по операциям с недвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;;;;8184217,3;
Деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;;;;3983740,9;
Деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;;;;2106031,3;
"Государственное управление и обеспечение военной безопасности;  социальное отрахование";;;;;;;;;;;;;;;;;;;;;;;;;;;6532018,0;
Образование;;;;;;;;;;;;;;;;;;;;;;;;;;;2143926,3;
Деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;3054496,2;
Деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;;;;769748,8;
Предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;406715,4;
"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления ";;;;;;;;;;;;;;;;;;;;;;;;;;;516991,5;
Налоги на продукты;;;;;;;;;;;;;;;;;;;;;;;;;;;9264512,4;
Субсидии на продукты (-);;;;;;;;;;;;;;;;;;;;;;;;;;;286445,7;
Индексы физического объема выпуска товаров и услуг по видам экономической деятельности (в процентах к предыдущему году);;;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
