СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;;101,4;102,6;100,6;104,1;102,3;108,8;100,9;91,2;…;96,2;105,0;103,5;103,9;104,5;;
Рыболовство, рыбоводство;;;;;;;;;;;;;105,0;100,2;106,5;104,8;102,9;94,1;106,2;91,8;…;104,1;104,9;95,7;101,8;97,6;;
Добыча полезных ископаемых;;;;;;;;;;;;;109,2;108,0;101,7;96,4;97,3;101,2;98,2;106,5;…;102,5;101,4;103,0;100,2;102,7;;
Обрабатывающие производства;;;;;;;;;;;;;108,1;109,7;104,6;107,8;109,0;99,7;86,1;108,6;…;104,6;101,1;100,5;96,0;100,5;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;;103,5;102,0;101,2;106,0;98,0;100,1;98,3;103,9;…;100,7;97,6;100,1;98,3;101,8;;
Строительство;;;;;;;;;;;;;113,9;109,9;110,4;118,2;116,0;113,6;87,7;104,8;…;101,8;100,1;97,5;101,5;101,3;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;;111,3;112,7;109,7;115,7;112,2;110,1;95,4;105,8;…;104,8;101,4;101,4;94,8;95,8;;
Гостиницы и рестораны;;;;;;;;;;;;;103,9;106,1;112,9;110,5;115,3;111,1;86,5;104,6;…;107,3;102,4;101,0;100,1;95,6;;
Транспорт и связь;;;;;;;;;;;;;107,9;110,7;107,0;113,3;106,2;106,6;91,7;105,6;…;104,9;101,3;100,9;99,6;100,6;;
Финансовая деятельность;;;;;;;;;;;;;123,3;115,7;120,5;125,0;124,8;113,7;98,4;101,8;…;118,7;109,9;102,7;92,5;106,4;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;;104,5;101,7;111,5;109,1;121,0;110,2;95,2;108,4;…;104,2;107,2;102,0;101,7;102,0;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;;103,1;103,6;97,4;102,8;103,7;102,8;99,2;99,8;…;104,9;102,4;96,0;95,4;102,4;;
Образование;;;;;;;;;;;;;102,6;100,4;100,5;100,6;101,2;100,0;98,6;98,2;…;96,5;96,8;101,1;98,9;99,2;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;;100,3;101,0;101,3;101,4;101,3;101,0;99,7;100,6;…;101,8;100,7;103,2;100,6;98,2;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;;103,2;111,7;101,1;107,7;108,8;102,8;81,5;103,6;…;102,8;100,4;100,9;103,4;101,1;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;;…;104,7;101,8;101,5;99,0;98,0;;
Итого в основных ценах;;;;;;;;;;;;;107,6;108,0;105,7;108,9;108,8;105,0;92,6;105,0;…;103,9;102,1;100,8;98,2;100,6;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;;;;102,9;
Добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;;102,1;
Обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;;;;101,2;
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;;;;100,1;
"Водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;;;;101,7;
Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;102,3;
"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов";;;;;;;;;;;;;;;;;;;;;;;;;;;103,3;
Транспортировка и храние;;;;;;;;;;;;;;;;;;;;;;;;;;;104,7;
Деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;;;;101,4;
Деятельность в области информации и связи;;;;;;;;;;;;;;;;;;;;;;;;;;;103,6;
Деятельность финансовая и страховая;;;;;;;;;;;;;;;;;;;;;;;;;;;102,9;
Деятельность по операциям с недвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;;;;101,9;
Деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;;;;100,5;
Деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;;;;103,4;
"Государственное управление и обеспечение военной безопасности;  социальное отрахование";;;;;;;;;;;;;;;;;;;;;;;;;;;102,1;
Образование;;;;;;;;;;;;;;;;;;;;;;;;;;;98,5;
Деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;97,6;
Деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;;;;107,2;
Предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;100,1;
"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления ";;;;;;;;;;;;;;;;;;;;;;;;;;;98,0;
Итого в основных ценах;;;;;;;;;;;;;;;;;;;;;;;;;;;102,0;
Индексы физического объема валового внутреннего продукта и валовой добавленной стоимости по видам экономической деятельности (в процентах к предыдущему году);;;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором видов экономической деятельности  ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовый внутренний продукт в рыночных ценах;;;;;;;;;;;;;107,3;107,2;106,4;108,2;108,5;105,2;92,2;104,5;…;103,7;101,8;100,7;97,5;99,8;;
   в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   Валовая добавленная стоимость                                                                                                                 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   в основных ценах;;;;;;;;;;;;;107,5;106,6;106,0;107,9;108,4;105,2;93,3;104,1;…;103,7;101,8;100,9;98,1;100,0;;
       в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;;98,2;101,0;100,3;102,7;101,3;106,4;101,5;87,9;…;98,4;104,5;102,0;102,6;103,2;;
Рыболовство, рыбоводство;;;;;;;;;;;;;101,7;102,5;89,1;104,0;99,1;94,2;105,6;90,9;…;107,7;105,0;93,5;101,2;97,2;;
Добыча полезных ископаемых;;;;;;;;;;;;;110,8;113,3;101,5;97,1;97,8;101,0;97,6;106,6;…;102,0;100,1;102,0;100,1;102,3;;
Обрабатывающие производства;;;;;;;;;;;;;108,8;108,1;104,4;106,6;107,5;97,9;85,4;108,6;…;104,6;100,7;100,8;95,5;99,6;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;;100,9;107,9;100,9;104,5;96,6;100,7;95,3;104,0;…;100,5;97,7;99,4;98,4;101,0;;
Строительство;;;;;;;;;;;;;112,7;109,9;110,2;112,8;113,0;111,1;85,3;104,4;…;103,8;98,5;97,2;97,8;99,2;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;;113,3;110,2;109,1;114,1;111,7;109,9;94,2;105,8;…;103,4;100,0;100,7;93,0;94,4;;
Гостиницы и рестораны;;;;;;;;;;;;;101,6;105,7;109,3;107,9;113,6;110,1;85,1;106,5;…;104,8;101,9;99,4;97,6;95,5;;
Транспорт и связь;;;;;;;;;;;;;107,2;105,9;105,9;109,7;104,8;105,2;91,4;105,5;…;104,0;99,8;99,8;97,3;99,6;;
Финансовая деятельность;;;;;;;;;;;;;129,0;114,7;129,2;125,4;129,1;113,5;101,5;100,3;…;119,6;112,5;105,4;93,7;107,2;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;;102,8;96,4;112,0;110,0;120,8;110,9;95,5;106,0;…;103,3;106,3;101,4;101,4;101,4;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;;101,3;104,6;94,6;102,5;103,9;103,0;99,9;99,7;…;104,7;102,6;101,0;100,9;102,9;;
Образование;;;;;;;;;;;;;101,2;100,3;100,3;100,5;101,1;99,9;98,6;98,2;…;97,0;96,6;100,4;99,3;99,0;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;;96,8;101,0;101,7;101,4;101,1;100,9;99,8;100,3;…;102,6;100,6;102,7;100,7;98,8;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;;100,8;106,3;102,9;107,5;108,6;101,4;80,0;102,2;…;100,8;99,9;99,8;104,0;99,9;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;;…;104,7;101,8;101,5;99,0;98,0;;
Налоги на продукты;;;;;;;;;;;;;105,2;109,9;107,0;108,8;109,1;105,1;86,3;106,1;…;103,5;101,4;99,6;93,6;98,7;;
Субсидии на продукты (-);;;;;;;;;;;;;99,7;97,5;83,0;95,0;109,0;98,0;86,3;79,6;…;103,1;98,0;98,0;101,0;100,0;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовый внутренний продукт в рыночных ценах;;;;;;;;;;;;;;;;;;;;;;;;;;;101,5;
   в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовая добавленная стоимость в основных ценах                                                                                                             ;;;;;;;;;;;;;;;;;;;;;;;;;;;101,6;
 в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;;;;101,2;
Добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;;101,4;
Обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;;;;100,1;
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;;;;100,2;
"Водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;;;;100,0;
Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;100,5;
"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов";;;;;;;;;;;;;;;;;;;;;;;;;;;103,3;
Транспортировка и храние;;;;;;;;;;;;;;;;;;;;;;;;;;;103,6;
Деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;;;;102,1;
Деятельность в области информации и связи;;;;;;;;;;;;;;;;;;;;;;;;;;;103,7;
Деятельность финансовая и страховая;;;;;;;;;;;;;;;;;;;;;;;;;;;101,5;
Деятельность по операциям с недвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;;;;102,4;
Деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;;;;100,6;
Деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;;;;102,6;
"Государственное управление и обеспечение военной безопасности;  социальное отрахование";;;;;;;;;;;;;;;;;;;;;;;;;;;101,0;
Образование;;;;;;;;;;;;;;;;;;;;;;;;;;;99,9;
Деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;100,5;
Деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;;;;101,9;
Предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;99,9;
"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления ";;;;;;;;;;;;;;;;;;;;;;;;;;;98,0;
Налоги на продукты;;;;;;;;;;;;;;;;;;;;;;;;;;;101,3;
Субсидии на продукты (-);;;;;;;;;;;;;;;;;;;;;;;;;;;100,0;
"Выпуск товаров и услуг по видам экономической деятельности и секторам (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором видов экономической деятельности  ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Сектор ""Нефинансовые корпорации""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;561011,7;686426,4;844073,6;902472,5;1067759,3;1352945,6;1692210,6;1634611,4;1541304,8;2002846,4;2151130,5;2276965,7;2733851,0;3402239,5;3696485,0;;
Рыболовство, рыбоводство;;;;;;;;;;;;54960,0;93524,2;100062,8;106776,9;118017,4;125679,0;133281,6;154876,3;162898,4;175915,1;193855,3;207321,5;235414,7;320878,7;352653,9;;
Добыча полезных ископаемых;;;;;;;;;;;;1345537,4;1606998,8;2303623,7;3199295,0;3640374,7;4237414,2;4972580,3;4747876,0;5981807,0;7360635,2;8352268,6;8967587,3;9559160,7;10977732,7;11394743,2;;
Обрабатывающие производства;;;;;;;;;;;;4808337,0;6132477,2;8072734,9;10378464,1;12860738,8;16166316,1;19783779,6;16551932,1;20674605,9;24465239,8;27117115,1;29048203,2;31823572,3;35716969,9;37266051,0;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;939362,2;1186506,5;1461017,1;1733552,6;2183815,2;2620540,4;3108832,9;3726488,3;4535512,6;5874739,5;5975532,4;6628383,5;6986750,6;7263369,8;7884249,0;;
Строительство;;;;;;;;;;;;968341,5;1340281,5;1652159,0;2017933,0;2649323,5;3655898,5;4965088,3;4553707,0;5346866,7;7331164,9;8314134,2;8410229,3;8671849,6;9157544,4;9774395,3;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;2473947,1;2845656,3;3714544,6;4474502,2;5883767,1;7421106,1;9480198,3;7946237,2;10886971,0;11716034,8;12866559,9;13838737,8;15562101,1;17304627,7;17350507,3;;
Гостиницы и рестораны;;;;;;;;;;;;117572,6;137543,7;195153,4;227081,7;277955,2;374365,4;493674,4;481078,9;620102,3;672222,3;780611,8;825682,6;908057,7;1026867,2;1075668,8;;
Транспорт и связь;;;;;;;;;;;;1795693,2;2138458,9;2669860,0;3266154,4;4059091,6;4799472,0;6026424,8;6003378,7;6748644,6;7876090,2;8964443,4;9982816,0;10538754,1;11979464,3;12942836,9;;
Финансовая деятельность;;;;;;;;;;;;1918,6;17,4;-;-;-;-;-;-;-;-;-;-;-;-;-;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;1362033,7;1643563,3;1751404,0;2291731,6;2824295,3;3949054,2;5064792,3;5399682,5;6174091,6;6803941,3;7565377,5;8960889,6;9988592,4;11249366,8;12332670,2;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;16075,2;21988,8;-;-;-;-;-;-;-;-;-;-;-;-;-;;
Образование;;;;;;;;;;;;63072,8;80993,7;99747,2;123936,7;156605,1;193146,8;242293,9;259194,5;188749,9;149905,2;177674,9;156845,9;166292,7;149576,1;177402,1;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;97767,8;115658,6;150787,7;183448,4;219973,4;260688,8;322367,7;365702,6;350366,6;365146,0;366225,3;382717,0;465784,3;594566,8;588198,9;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;163855,5;216618,0;288475,3;343309,7;444936,7;568650,8;667792,1;599292,9;710034,1;766282,7;771569,4;883088,3;947674,2;1052828,7;1170085,7;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;-;-;-;-;-;-;-;;
Итого в основных ценах;;;;;;;;;;;;14769486,3;18246713,4;23303643,1;29248658,9;36386653,3;45725277,8;56953316,8;52424058,4;63921955,5;75560163,5;83596498,4;90569467,7;98587855,4;110196032,4;116005947,4;;
"Сектор ""Финансовые корпорации""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Рыболовство, рыбоводство;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Добыча полезных ископаемых;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Обрабатывающие производства;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Строительство;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Гостиницы и рестораны;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Транспорт и связь;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Финансовая деятельность;;;;;;;;;;;;408977,8;548820,7;692201,8;976222,0;1334423,2;1736934,4;2203766,2;2373143,3;2465090,6;2820442,1;3488071,0;4042364,7;4431937,1;3900652,4;4719001,1;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;1374,9;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Образование;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;-;-;-;-;-;-;;;
Итого в основных ценах;;;;;;;;;;;;410352,7;548820,7;692201,8;976222,0;1334423,2;1736934,4;2203766,2;2373143,3;2465090,6;2820442,1;3488071,0;4042364,7;4431937,1;3900652,4;4719001,1;;
"Сектор ""Государственное управление""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;20109,8;24031,2;29485,7;16480,0;18180,4;22616,1;24480,8;31802,4;27974,0;31427,1;35541,7;37984,3;43561,1;43831,1;43551,6;;
Рыболовство, рыбоводство;;;;;;;;;;;;2593,5;2630,5;3101,8;1909,1;1542,0;1491,3;1841,6;2426,3;4896,0;6835,5;11414,6;12069,0;12460,0;12287,6;10956,0;;
Добыча полезных ископаемых;;;;;;;;;;;;-;-;-;-;-;-;-;0,0;-;-;-;-;-;-;-;;
Обрабатывающие производства;;;;;;;;;;;;…;…;…;1863,8;2955,7;6510,7;8118,9;8382,3;8530,3;9664,8;32302,3;31590,5;31860,2;30139,9;33530,8;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;3084,2;2671,6;2962,9;2364,6;2919,8;;
Строительство;;;;;;;;;;;;6433,7;8037,0;7461,8;6545,3;9208,2;13442,0;12446,3;11021,4;13287,7;11016,9;13396,1;13697,0;0,0;0,0;0,0;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;
Гостиницы и рестораны;;;;;;;;;;;;-;-;-;-;-;-;-;-;4575;5398,4;28817,5;29476,1;34164,3;29490,9;33889,6;;
Транспорт и связь;;;;;;;;;;;;…;…;…;34057,7;47778,8;50857,5;76005,5;84969,7;96500,6;19311,9;28255,1;36389,2;64398,5;67038,9;50602,3;;
Финансовая деятельность;;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;75594,4;98245,3;113906,4;113160,6;143169,0;159150,6;186812,5;198735,3;275979,9;545253,8;671632,6;754194,4;803479,9;870574,9;886632,7;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;1087545,5;1354007,2;1645632,2;1988395,7;2517781,8;3030246,1;3897155,0;4242799,1;4716044,4;5923023,9;7090184,0;7966128,7;8109463,6;8464920,8;9241050,7;;
Образование;;;;;;;;;;;;304606,4;351514,8;437456,8;551609,9;694775,9;884329,8;1118056,8;1228164,9;1447440,0;1712653,5;1735538,8;1936268,1;2028674,8;2095763,6;2114711,7;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;401890,8;465288,5;579469,4;754667,7;974217,4;1231793,9;1586377,0;1725122,3;1967041,7;2369338,2;2722225,6;3021455,5;3463530,9;3618823,7;3764794,6;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;54791,6;68265,8;81987,9;111738,0;139709,5;179283,5;226539,3;231172,5;339134,0;429080,3;508104,3;550386,5;630860,6;679929,0;706380,2;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;-;-;-;-;-;-;-;;
Итого в основных ценах;;;;;;;;;;;;1953565,6;2372020,3;2898502,0;3580427,8;4549318,7;5579721,6;7137833,7;7764596,1;8901403,5;11063004,2;12880496,7;14392310,9;15225416,8;15915164,9;16889020,1;;
"Сектор ""Домашние хозяйства""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;546979,3;572930,7;611622,0;692660,8;770168,7;878160,2;1102884,0;1226092,3;1453920,6;1735186,8;1754545,4;1946609,8;2198002,8;2537845,4;2646873,7;;
Рыболовство, рыбоводство;;;;;;;;;;;;8001,4;11357,6;7643,1;13398,8;13499,1;13944,0;16353,7;22246,0;20660,7;21607,1;22110,5;23523,8;26057,0;31421,6;32269,2;;
Добыча полезных ископаемых;;;;;;;;;;;;1960,3;2676,7;384,1;790,4;1198,0;1747,7;311,9;221,2;441,2;487,3;587,5;371,3;407,8;983,6;1040,7;;
Обрабатывающие производства;;;;;;;;;;;;166268,6;167538,5;152662,6;230585,8;259245,1;358739,2;398480,1;308902,5;384593,7;622152,9;717304,0;801943,2;848276,5;1025631,0;1042904,3;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;…;…;3487,0;1497,8;1356,7;1012,9;1086,9;932,6;1375,7;1418,1;1980,7;1981,1;2068,9;2536,0;2633,2;;
Строительство;;;;;;;;;;;;84190,2;112804,3;126671,3;154483,8;192303,9;268138,4;340235,9;341610,2;431169,0;478015,7;517243,2;568234,8;682012,2;808956,2;835483,6;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;648947,2;756709,7;958739,3;1180944,6;1505956,4;1719362,7;1716582,5;1876482,6;2096335,5;2484370,5;2822481,3;3015401,5;2959106,6;2893004,7;2836295,0;;
Гостиницы и рестораны;;;;;;;;;;;;24592,7;27316,3;45142,4;78507,1;123356,0;161212,3;200573,3;204006,4;212093,8;251522,0;285950,6;314945,8;341931,4;371373,9;378448,0;;
Транспорт и связь;;;;;;;;;;;;61343,6;83353,9;120137,6;147452,7;206006,6;247830,7;323022,1;322083,4;440947,1;504282,7;613528,0;638673,7;754213,9;857304,7;929874,3;;
Финансовая деятельность;;;;;;;;;;;;-;-;-;-;-;-;-;-;24168;24858,0;26920,1;44204,1;45893,8;44680,9;53684,2;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;140701,5;162685,6;353627,6;487682,8;615388,6;753536,8;855637,3;885625,0;1317508,7;4645157,8;5415940,9;5782096,2;5894985,4;6487700,9;6849989,2;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;
Образование;;;;;;;;;;;;9470,9;12354,0;14800,8;20807,6;27172,6;35762,6;32268,1;37166,5;36782,9;40820,3;88510,1;99902,3;107435,7;124836,2;127143,0;;
