Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;
ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ СОЦИАЛЬНОЙ ПОДДЕРЖКИ (ЛЬГОТ) ПО ОПЛАТЕ ЖИЛОГО ПОМЕЩЕНИЯ И КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;
3.29.1. Численность граждан, пользующихся социальной поддержкой по  оплате жилого помещения и коммунальных услуг;;;;;;;;;
(тысяч человек);;;;;;;;;
;2005;2010;2015;2016;2017;;;;
Российская Федерация;37522,4;37461,8;36687,7;35982,8;35086,6;;;;
Центральный федеральный округ;12166,5;10820,2;10608,7;10656,1;10431,1;;;;
Белгородская область;456,4;474,1;501,6;484,4;467,1;;;;
Брянская область;453,4;372,9;351,3;341,7;324,5;;;;
Владимирская область;403,8;374,6;343,1;350,2;337,5;;;;
Воронежская область;583,9;589,8;557,9;610,2;525,8;;;;
Ивановская область;276,5;272;273;267,5;261,3;;;;
Калужская область;334,7;365,4;373,3;280,6;257,0;;;;
Костромская область;257,7;184,7;277,4;253,3;236,3;;;;
Курская область;371,6;400,7;422;406,6;397,9;;;;
Липецкая область;400,1;372;298,4;292,3;313,7;;;;
Московская область;1779,6;1922,1;1872,6;1856,7;1842,5;;;;
Орловская область;209,6;242,5;215;222,9;220,8;;;;
Рязанская область;322,4;333,8;313;308,4;305,4;;;;
Смоленская область;216;301,6;212,9;211,1;199,7;;;;
Тамбовская область;496,8;337;316,8;313,4;321,1;;;;
Тверская область;233,7;385,9;345,7;342;336,9;;;;
Тульская область;508,7;416,8;357,4;340,9;329,3;;;;
Ярославская область;408,8;322,2;311,3;310,4;305,6;;;;
г. Москва;4452,8;3152;3266,2;3463,2;3448,6;;;;
Северо-Западный федеральный округ;4267,5;3789,8;3528,8;3429,7;3414,8;;;;
Республика Карелия;191,6;229,4;194,3;190,6;188,2;;;;
Республика Коми;238,5;273,7;230;239,7;234,7;;;;
Архангельская область;433,7;405,4;402,4;404,5;394,6;;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;14,7;9,9;10,8;9,9;9,7;;;;
Архангельская область без автономного округа;419;395,6;391,6;394,6;384,9;;;;
Вологодская область;369,9;377,9;363,1;356,2;365,6;;;;
Калининградская область;194,3;181,2;183,3;188,2;187,4;;;;
Ленинградская область;406,1;456,4;355,5;345,1;362,4;;;;
Мурманская область;183,3;175,3;164,8;170,5;166,8;;;;
Новгородская область;233,8;225;223,2;207;192,8;;;;
Псковская область;312,4;217,4;188,1;110,7;100,2;;;;
г. Санкт-Петербург;1703,9;1248,3;1224;1217,3;1222;;;;
Южный               федеральный округ;2977,3;3312,8;3815,8;3608,4;3413,5;;;;
Республика Адыгея;97,1;120;119,4;81,3;78,7;;;;
Республика Калмыкия;82,9;79,6;78;75,5;77,9;;;;
Республика Крым;;;389,6;350,9;350,5;;;;
Краснодарский край;987,3;1212,5;1268,8;1157,3;1152,0;;;;
Астраханская область;251,2;230,7;226,3;214,3;163,7;;;;
Волгоградская область;550,5;619,3;552,6;522,4;504,6;;;;
Ростовская область;1008,4;1051,6;970,8;946,1;916,5;;;;
г. Севастополь;;;210,3;260,6;169,7;;;;
Северо-Кавказский федеральный округ;2334,2;2498,6;2438,4;2401,7;2317;;;;
Республика Дагестан;911,2;700,4;767,8;757,9;679,2;;;;
Республика Ингушетия;296,5;325,9;345,2;342,2;322,9;;;;
Кабардино-Балкарская Республика;221,8;206,5;209;207,5;198,0;;;;
Карачаево-Черкесская Республика;103,7;169,3;153,5;154;154,7;;;;
Республика Северная Осетия - Алания;294,9;126,6;123,2;119,6;106,2;;;;
Чеченская Республика;…;406,2;232,4;223,4;229,7;;;;
Ставропольский край;506,1;563,7;607,4;597,2;626,3;;;;
Приволжский федеральный округ;6753,2;8050,8;7228,1;7025,9;6767,1;;;;
Республика Башкортостан;1012,5;1011,7;765,4;738;735,9;;;;
Республика Марий Эл;346,2;154,8;189,2;202,2;191,8;;;;
Республика Мордовия;235,8;205,9;182,3;181,8;180,6;;;;
Республика Татарстан;0,3;823,1;823,1;816,6;808,8;;;;
Удмуртская Республика;409,3;334,9;371,1;372,2;377,5;;;;
Чувашская Республика;286,5;287;287,6;273,4;271,9;;;;
Пермский край;733,9;735,6;617,1;581,9;567,9;;;;
Кировская область;315,1;349,2;358,2;353,3;343,0;;;;
Нижегородская область ;842,2;952,9;987,4;954,1;870,1;;;;
Оренбургская область;487;546,8;579,3;543,2;531,0;;;;
Пензенская область;286,7;318,2;290,6;291,1;285,3;;;;
Самарская область;726,2;710,2;684,3;671,6;581,6;;;;
Саратовская область;751,9;1180,2;644,5;590,5;582,5;;;;
Ульяновская область;319,6;440,2;448;456,1;439,2;;;;
Уральский          федеральный округ;2753,9;2817,4;2731,5;2707,1;2682,7;;;;
Курганская область;220,3;192,3;203;215,4;207,5;;;;
Свердловская область ;1010,2;1007,7;994,5;977;981,3;;;;
Тюменская область;763,5;613,2;705,7;695,9;683,4;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;339,2;233;291,4;300,6;300,7;;;;
Ямало-Ненецкий автономный округ;59,3;82,1;114,6;118,7;118,7;;;;
Тюменская область без автономных округов;365;298,2;299,8;276,6;264,0;;;;
Челябинская область;759,9;1004,1;828,4;818,8;810,6;;;;
Сибирский        федеральный округ;4995,8;4875,9;5057,9;4883,6;4821,1;;;;
Республика Алтай;52,7;65,4;72;71,7;72,3;;;;
Республика Бурятия;227,3;377,4;329,8;326,6;324,9;;;;
Республика Тыва;24,1;42,4;42,4;51,4;80,4;;;;
Республика Хакасия;111,2;169,6;181,9;162,9;153,7;;;;
Алтайский край;581,6;602,3;607,2;600,1;487,8;;;;
Забайкальский край;401,6;208,1;226,2;215,5;220,5;;;;
Красноярский край;710,4;637,1;720;746,5;760,5;;;;
Иркутская область;572,8;539,9;533,6;508;488,4;;;;
Кемеровская область;864,7;806,1;867,5;857,5;883,6;;;;
Новосибирская область ;732,3;713,6;833,6;695,9;702,1;;;;
Омская область;482,8;463,2;421,1;423,6;429,1;;;;
Томская область;234,4;250,9;222,6;223,8;217,7;;;;
Дальневосточный федеральный округ;1274;1295,3;1278,4;1270,3;1239,4;;;;
Республика Саха (Якутия);154,8;199,2;198,9;203,4;202,5;;;;
Камчатский край;64,1;68,3;76,6;76,8;77,7;;;;
Приморский край;366,4;371,6;352,1;341,4;316,8;;;;
Хабаровский край ;344;306,4;286,6;290;282,8;;;;
Амурская область;178,7;191,1;188,7;184,5;177,4;;;;
Магаданская область;31,4;23,5;24;22,4;22,4;;;;
Сахалинская область;94,2;84,5;101,8;102;101,8;;;;
Еврейская автономная область;32,4;39,1;39,9;40,6;48,6;;;;
Чукотский автономный округ;8,1;11,6;9,9;9,3;9,3;;;;
